Precinct	total_votes	votes|Pat Quinn	votes|Renato Mariotti	votes|Scott Drury	votes|Nancy Rotering	votes|Kwame Raoul	votes|Jesse Ruiz	votes|Sharon Fairley	votes|Aaron Goldstein
01001	235	39	6	13	15	73	29	54	6
01002	180	47	6	3	10	51	29	27	7
01003	261	45	11	11	24	84	15	65	6
01004	245	53	17	5	20	51	31	60	8
01005	242	29	7	13	29	71	11	64	18
01006	215	41	14	11	9	46	35	39	20
01007	164	39	9	12	11	40	18	29	6
01008	214	39	14	11	16	62	26	36	10
01009	215	55	12	1	14	47	39	34	13
01010	227	43	7	9	19	50	17	67	15
01011	244	30	12	18	27	56	15	75	11
01012	280	46	14	14	15	72	19	80	20
01013	116	21	8	3	7	30	20	21	6
01014	241	38	14	15	19	71	27	51	6
01015	240	47	5	14	22	71	23	41	17
01016	248	47	12	12	14	60	25	60	18
01017	216	50	16	11	23	41	23	36	16
01018	258	46	10	9	29	75	21	49	19
01019	267	39	14	11	26	74	34	46	23
01020	196	43	7	9	11	44	23	46	13
01021	244	34	22	9	19	63	19	68	10
01022	168	34	11	7	12	41	24	32	7
01023	341	41	24	10	26	75	40	92	33
01024	216	50	11	8	16	50	43	25	13
01025	203	36	11	9	20	56	19	41	11
01026	146	33	5	7	8	40	22	22	9
01027	228	29	14	16	23	56	31	46	13
01028	96	29	1	3	6	27	26	3	1
01029	255	35	14	15	24	44	33	72	18
01030	286	40	12	10	22	77	51	51	23
01031	257	48	6	11	16	70	56	42	8
01032	216	37	10	9	30	51	25	39	15
01033	271	46	16	20	22	57	21	72	17
01034	215	27	9	6	23	64	28	47	11
01035	275	45	17	14	19	85	25	61	9
01036	220	41	14	14	16	53	13	53	16
01037	232	39	13	9	23	59	20	55	14
01038	219	37	13	15	20	49	28	41	16
01039	209	42	9	12	21	39	34	50	2
01040	252	62	13	10	23	60	43	25	16
01041	168	25	8	10	13	45	13	39	15
01042	64	13	2	0	5	11	11	14	8
01043	148	36	3	11	11	36	18	23	10
01044	218	28	11	5	20	70	21	46	17
02001	231	32	9	7	23	77	11	62	10
02002	214	34	10	13	27	45	7	69	9
02003	275	48	17	18	27	80	18	61	6
02004	185	29	10	6	12	58	9	46	15
02005	258	46	13	8	23	71	17	62	18
02006	191	32	7	12	18	67	12	35	8
02007	218	46	14	15	22	40	24	48	9
02008	242	43	15	15	17	79	12	53	8
02009	155	30	7	9	19	44	7	32	7
02010	213	29	8	25	24	43	11	58	15
02011	265	44	11	20	26	59	9	82	14
02012	249	40	8	13	18	104	9	52	5
02013	219	35	10	17	30	46	8	67	6
02014	280	42	10	14	17	94	23	56	24
02015	228	43	18	17	9	61	9	58	13
02016	215	38	11	14	6	69	21	46	10
02017	298	38	16	15	25	86	17	80	21
02018	213	35	10	12	18	59	4	70	5
02019	180	35	5	11	22	35	13	55	4
02020	179	34	19	11	16	29	8	52	10
02021	256	36	15	21	24	60	14	68	18
02022	226	34	14	26	26	47	7	62	10
02023	185	24	7	13	23	41	15	55	7
02024	230	33	14	14	24	64	13	60	8
02025	231	38	7	18	22	49	18	65	14
02026	170	36	8	14	13	51	8	30	10
02027	197	50	12	16	26	45	8	37	3
02028	230	36	11	14	25	61	8	64	11
02029	222	35	17	15	30	70	5	44	6
02030	190	36	9	14	23	35	9	64	0
02031	300	48	13	27	27	57	18	100	10
02032	170	29	9	10	19	51	7	40	5
02033	375	62	22	27	36	97	8	112	11
02034	254	28	10	23	40	54	11	83	5
02035	212	29	9	15	26	59	11	51	12
02036	196	32	11	19	27	46	11	41	9
02037	221	42	10	11	25	52	11	62	8
02038	204	28	10	29	21	47	9	48	12
02039	146	30	5	14	12	41	9	27	8
02040	233	54	12	14	25	53	14	52	9
02041	144	33	12	5	12	39	6	34	3
02042	187	33	11	21	13	56	4	46	3
02043	230	28	21	18	24	44	7	77	11
02044	141	23	6	12	13	32	7	46	2
02045	237	61	12	13	22	85	4	34	6
02046	123	26	9	7	11	32	5	29	4
03001	376	95	4	8	4	239	6	20	0
03002	426	79	8	14	19	280	9	14	3
03003	260	63	9	9	8	126	12	29	4
03004	302	50	1	7	2	206	8	20	8
03005	147	37	1	4	4	90	3	8	0
03006	280	39	9	13	25	109	16	56	13
03007	252	46	5	10	10	160	8	9	4
03008	210	55	2	5	7	124	7	8	2
03009	274	43	4	5	10	184	7	17	4
03010	136	33	1	1	0	89	2	8	2
03011	262	38	2	3	5	171	5	26	12
03012	341	53	2	4	8	232	8	30	4
03013	324	50	14	15	24	115	19	80	7
03014	243	49	13	14	14	96	6	45	6
