Precinct	total_votes	votes|Robin Kelly	votes|Theresa J. Raborn
05001	528	501	27
05006	456	432	24
05010	208	206	2
05011	346	335	11
05014	448	439	9
05018	206	197	9
05023	1042	968	74
05025	377	365	12
05026	557	527	30
05028	581	550	31
05029	592	567	25
05031	437	422	15
05032	629	602	27
05035	110	105	5
05036	363	347	16
05037	631	596	35
05038	529	515	14
05040	433	411	22
05041	279	268	11
07001	276	262	14
07002	459	440	19
07003	437	424	13
07004	433	415	18
07005	404	377	27
07006	572	555	17
07007	433	403	30
07008	361	332	29
07009	742	710	32
07010	506	494	12
07011	508	494	14
07012	437	418	19
07013	283	274	9
07014	504	477	27
07015	431	419	12
07016	434	408	26
07017	354	336	18
07018	439	416	23
07019	420	409	11
07020	353	336	17
07021	342	328	14
07022	392	360	32
07023	403	389	14
07024	364	349	15
07025	371	332	39
07026	342	329	13
07027	349	342	7
07028	341	322	19
07029	396	380	16
07030	344	323	21
07031	318	294	24
07032	537	512	25
07033	524	508	16
07034	531	517	14
07035	470	449	21
07036	525	508	17
07037	441	425	16
07038	367	356	11
07039	390	383	7
07040	372	363	9
07041	403	394	9
07042	393	384	9
07043	410	393	17
07044	378	366	12
07045	434	418	16
07046	154	144	10
08004	302	295	7
08005	10	10	0
08007	497	481	16
08009	292	283	9
08017	387	379	8
08027	398	383	15
08028	457	442	15
08032	361	353	8
08036	448	435	13
08039	436	432	4
08042	578	563	15
08046	361	355	6
08049	23	21	2
08050	138	137	1
08053	269	260	9
09001	422	406	16
09002	341	330	11
09003	303	287	16
09004	333	327	6
09005	416	405	11
09006	397	383	14
09007	325	310	15
09008	458	439	19
09009	491	482	9
09010	335	321	14
09011	304	290	14
09013	479	469	10
09014	485	470	15
09015	529	504	25
09016	404	391	13
09017	319	303	16
09018	304	302	2
09019	421	410	11
09020	403	391	12
09021	403	380	23
09022	464	448	16
09026	537	511	26
09027	356	344	12
09028	281	256	25
09029	377	368	9
09030	367	350	17
09031	350	343	7
09032	436	421	15
09033	326	313	13
09034	363	347	16
09035	391	377	14
09037	651	555	96
09038	413	396	17
09039	450	440	10
09040	464	455	9
09041	353	340	13
09043	377	358	19
09044	369	364	5
09045	354	335	19
09046	400	374	26
10001	364	334	30
10002	471	299	172
10003	511	354	157
10004	365	330	35
10005	389	272	117
10006	403	314	89
10007	356	293	63
10008	247	231	16
10009	460	302	158
10010	516	389	127
10011	597	485	112
10012	343	270	73
10013	420	369	51
10014	590	461	129
10015	784	763	21
10016	373	267	106
10017	636	422	214
10018	278	254	24
10019	492	360	132
10020	491	389	102
10021	489	379	110
10022	276	221	55
10023	400	325	75
10024	487	305	182
10025	133	127	6
10026	336	289	47
10027	423	393	30
10028	533	449	84
10029	482	390	92
10030	432	366	66
10031	390	338	52
10032	491	379	112
10033	364	308	56
10034	325	290	35
10035	518	352	166
10036	133	124	9
34002	60	60	0
34004	335	321	14
34018	301	292	9
34022	319	309	10
34023	371	364	7
34024	374	363	11
34027	365	350	15
34028	291	280	11
34030	258	252	6
34036	381	368	13
34037	246	236	10
34038	227	216	11
34039	330	313	17
34041	227	226	1
34053	298	281	17
